科目,出題回,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解,解説
医療概論,34,名称独占に加えて、業務独占を伴う医療従事者はどれか。,理学療法士,作業療法士,保健師,看護師,4,
医療概論,34,介護保険制度について正しいのはどれか。,保険者は都道府県である。,被保険者は75歳以上である。,要介護の認定区分は5つである。,介護報酬の改定は毎年行われる。,3,
衛生学・公衆衛生学,25,公費医療の対象とならないのはどれか。,生活保護法による医療扶助,労働基準法による業務上疾病の治療,母子保健法による養育医療,精神保健及び精神障害者福祉に関する法律による措置入院,2,
衛生学・公衆衛生学,25,我が国の平成26年の業務上疾病で最も多いのはどれか。,物理的因子による疾病,化学物質による疾病,じん肺および合併症,災害性腰痛,4,
衛生学・公衆衛生学,25,精神障害について正しいのはどれか。,認知症は知能が生来低下している状態である｡,適応障害は脳の器質的障害が原因である。,抑うつは意識レベルの程度を表している｡,てんかん発作は一時的な意識消失を伴う。,4,
衛生学・公衆衛生学,25,遺伝する疾患はどれか。,アザラシ肢症,フェニルケトン尿症,ハンセン病,先天性風疹症候群,2,
衛生学・公衆衛生学,25,特定健康診査で必須の項目はどれか。,総コレステロール,眼底所見,γ-GTP,心電図,3,
衛生学・公衆衛生学,25,地球上から根絶された感染症はどれか。,破傷風,コレラ,ポリオ,痘そう,4,
衛生学・公衆衛生学,25,予防接種に生ワクチンを使用するのはどれか。,百日咳,肺炎球菌,麻疹,日本脳炎,3,
衛生学・公衆衛生学,25,我が国の人口統計について正しいのはどれか。,生後4週未満の死亡統計から乳児死亡率を算出できる。,死亡診断書は死因統計の基礎データとなる。,国勢調査は人口動態統計である。,死因統計はICFに従って分類される。,2,
衛生学・公衆衛生学,25,WHOの主な活動はどれか。,地域紛争の解決,保健統計の刊行,労働条件の改善,難民の救済援助,2,
衛生学・公衆衛生学,26,施術者の倫理について正しいのはどれか。 ,業務上知り得た患者の秘密は研究目的であっても漏らしてはならない。 ,「ヒポクラテスの誓い」は現代には通用しない。 ,利益向上のためにはQOLは考えなくてもよい。 ,「患者の権利宣言」は日本には適用されない。,1,
衛生学・公衆衛生学,26,市町村保健センターの役割はどれか。 ,食品衛生に関する業務 ,環境衛生に関する業務 ,エイズに関する相談 ,乳幼児健診,4,
衛生学・公衆衛生学,26,平成25年の国民生活基礎調査において、高齢者が要介護となる原因として最も頻度が高いのはどれか。 ,関節疾患 ,高齢による衰弱 ,骨折･転倒 ,脳血管疾患 ,4,
衛生学・公衆衛生学,26,人口静態統計で調べる項目はどれか。 ,人口 ,死亡 ,出生 ,結婚,1,
衛生学・公衆衛生学,26,アニサキスの主症状はどれか。 ,発熱 ,腹痛 ,下痢 ,血尿,2,
衛生学・公衆衛生学,26,精神保健について正しいのはどれか。 ,統合失調症は脳の器質的疾患である。 ,認知症では夜間せん妄を生じやすい。 ,うつ病では見当識障害を生じやすい。 ,適応障害の主症状は幻覚である。,2,
衛生学・公衆衛生学,26,リケッチア感染症はどれか。 ,梅毒 ,デング熱 ,ジフテリア ,ツツガムシ病,4,
衛生学・公衆衛生学,26,滅菌に用いられるのはどれか。 ,アルコール ,塩素ガス ,高圧蒸気 ,紫外線,3,
衛生学・公衆衛生学,27,患者に対する施術者の役割で適切なのはどれか。,援助者,管理者,指導者,保護者,1,
衛生学・公衆衛生学,27,我が国の 2016 年に発生した業務上疾病で最も多いのはどれか。,腰痛,じん肺,心疾患,酸素欠乏症,1,
衛生学・公衆衛生学,27,虐待を受けたと思われる児童を発見した者が通告する施設はどれか。,保健所,児童相談所,地域包括ケアセンター,市町村保健センター,2,
衛生学・公衆衛生学,27,我が国の 2014 年の患者調査で医療機関を受診している総患者数が最も多 いのはどれか。,高血圧性疾患,糖尿病,脳血管疾患,悪性新生物,1,
衛生学・公衆衛生学,27,二次予防はどれか,栄養指導,検　疫,健康診断,後遺症予防,3,
衛生学・公衆衛生学,27,生体内でホルモンの作用に影響を与える外因性物質の総称はどれか。,大気汚染物質,浮遊粒子状物質,内分泌撹乱化学物質,揮発性有機化合物,3,
衛生学・公衆衛生学,27,我が国の 2014 年の患者調査で精神障害による入院患者が最も多いのはど れか。,統合失調症,気分障害,神経症性障害,てんかん,1,
衛生学・公衆衛生学,27,再興感染症はどれか。,SARS,エボラ出血熱,ウエストナイル熱,結　核,4,
衛生学・公衆衛生学,27,滅菌に用いられるのはどれか。,グルタールアルデヒド（グルタラール）,ポビドンヨード,逆性石けん,オートクレーブ,4,
衛生学・公衆衛生学,28,疾病の三次予防はどれか。,健康教育,予防接種,健康診査,リハビリテーション,4,
衛生学・公衆衛生学,28,精神保健について誤っているのはどれか。,長期に社会的入院をしている患者に退院促進支援事業を行う。,長期医療計画に精神疾患が加えられた。,ハローワークで就労支援を行う。,精神保健福祉センターは各市町村に置かれる。,4,
衛生学・公衆衛生学,28,白内障の原因になりにくいのはどれか。,紫外線,可視光線,赤外線,マイクロ波,2,
衛生学・公衆衛生学,28,高齢者の医療の確保に関する法律に基づいて実施されるのはどれか。,がん検診,肝炎ウイルス検診,特定健康診査,骨粗鬆症検診,3,
衛生学・公衆衛生学,28,日本人の食生活について過剰摂取となっている栄養素はどれか。,食物繊維,カルシウム,亜　鉛,ナトリウム,4,
衛生学・公衆衛生学,28,1994年の国際人口開発会議(カイロ会議)で提唱された性と生殖に関する概念はどれか。,リプロダクティブ・ヘルス/ライツ,プライマリ・ヘルス・ケア,ヘルスプロモーション,ファミリー・プランニング,1,
衛生学・公衆衛生学,28,感染症の予防及び感染症の患者に対する医療に関する法律(感染症法)に定められた感染症で致命率が最も高いのはどれか。,エボラ出血熱,中東呼吸器症候群(MERS),腸管出血性大腸菌感染症,デング熱,1,
衛生学・公衆衛生学,28,曝露群が非曝露群に比べて何倍疾病に罹りやすいかを示す疫学指標はどれか。,相対危険,寄与危険,寄与危険割合,集団寄与危険,1,
衛生学・公衆衛生学,29,2019年の食中毒統計において食虫毒の発生件数が最も多いのはどれか。,家　庭,学　校,病　院,飲食店,4,
衛生学・公衆衛生学,29,皮膚の消毒に用いないのはどれか。,アルコール類,塩素系消毒剤,ヒグアナイド系消毒剤,ヨウ素系消毒剤,2,
衛生学・公衆衛生学,29,総務省が実施する調査はどれか。,国勢調査,人口動態調査,国民生活基礎調査,国民健康・栄養調査,1,
衛生学・公衆衛生学,29,生体に照射してもイオン化しない放射線はどれか。,陽子線,中性子線,赤外線,エックス線,3,
衛生学・公衆衛生学,29,地域の衛生状態や生活水準の影響を最も反映しやすい母子保健統計の指標はどれか。,乳児死亡率,死産率,妊産婦死亡率,周産期死亡率,1,
衛生学・公衆衛生学,29,空気感染症対策が有効なのはどれか。,赤　痢,コレラ,結　核,ポリオ,3,
衛生学・公衆衛生学,30,疾病予防について、ハイリスクアプローチはどれか。,受動喫煙を減らすための法整備,食習慣改善のための広報活動,市民対象のウォーキング大会の実施,喫煙者に対する禁煙指導の実施,4,
衛生学・公衆衛生学,30,2019年度学校保健統計調査において中学生・高校生で被患率が最も高いのはどれか。,むし歯,裸眼視力1.0未満,鼻・副鼻腔疾患,ぜん息,2,
衛生学・公衆衛生学,30,疫学指標について、横断調査により明らかになるのはどれか。,有病率,罹患率,死亡率,致命率,1,
衛生学・公衆衛生学,30,保健所について誤っているのはどれか。,地域保健法で規定される。,保健所長は医師である必要がある。,栄養の改善および食品衛生に関する業務を行う。,地域保健に係る統計に関する業務を行う。,2,
衛生学・公衆衛生学,30,運動により減少することが期待されるのはどれか。,心拍出量,最大酸素摂取量,末梢血管抵抗,インスリン感受性,3,
衛生学・公衆衛生学,30,産業衛生管理のうち作業管理はどれか。,作業場の換気,防塵マスクの使用,定期健康診断の実施,作業環境測定の実施,2,
衛生学・公衆衛生学,31,疫学予防の段階について、二次予防に分類されるのはどれか。,遺伝相談,感染経路対策,発がん物質対策,スクリーニング検査,4,
衛生学・公衆衛生学,31,上水道の水質基準で「検出されないこと」と決められているのはどれか。,大腸菌,水　銀,ヒ　素,総トリハロメタン,1,
衛生学・公衆衛生学,31,結核対策で早期発見を目的とするのはどれか。,結核登録,定期健康診断,定期予防接種,家庭訪問指導,2,
衛生学・公衆衛生学,31,我が国の国民の1日平均歩数に関する公的統計を公表している調査はどれか。,国勢調査,人口動態統計,国民生活基礎調査,国民健康・栄養調査,4,
衛生学・公衆衛生学,31,特定健康診査・特定健康指導について正しいのはどれか。,健康増進法に基づいて実施される。,実施主体は医療保険者である。,75歳以上が対象となる。,がん検診のことである。,2,
衛生学・公衆衛生学,31,人口動態統計で示される指標はどれか。,健康寿命,有訴者率,離婚件数,通院者数,3,
衛生学・公衆衛生学,32,海産魚介類の生食により激しい胃痛を起こすのはどれか。,クリプトスポリジウム,黄色ブドウ球菌,サルモネラ属,アニサキス,4,
衛生学・公衆衛生学,32,日常生活を送るために最低限必要な動作を示すのはどれか。,QOL,ADL,PHC,BMI,2,
衛生学・公衆衛生学,32,施術者の手指消毒に適切なのはどれか。,紫外線,オキシドール,70％アルコール,エチレンオキサイドガス,3,
衛生学・公衆衛生学,32,男性において、生活習慣病のリスクを高める1日あたりの純アルコール摂取量はどれか。,10グラム以上,20グラム以上,30グラム以上,40グラム以上,4,
衛生学・公衆衛生学,32,ある要因への曝露群と非曝露群の罹患率の差を評価する疫学指標はどれか。,寄与危険度,オッズ比,有病率,相対危険度,1,
衛生学・公衆衛生学,32,持続可能な開発目標(SDGs)の17のゴールに含まれるのはどれか。,再生医療の促進,ジェンダー平等,救急医療の充実,少子高齢化対策,2,
衛生学・公衆衛生学,33,疾病予防に関するハイリスクアプローチでないのはどれか。,喫煙者に禁煙指導の実施,市民を対象としたウォーキング大会の実施,糖尿病予備軍に運動指導の実施,塩分摂取量が多い者に食事指導の実施,2,
衛生学・公衆衛生学,33,我が国の2021年度の学校管理下における死亡で最も多いのはどれか。,突然死,溺死以外の窒息死,全身打撲,頭部外傷,1,
衛生学・公衆衛生学,33,現在の新型コロナウイルス感染症(COVID-19)の感染症法上の位置づけどれか。,5類感染症,新型インフルエンザ等感染症,指定感染症,新感染症,1,
衛生学・公衆衛生学,33,産業衛生管理のうち作業管理はどれか。,作業場の換気,作業環境測定の実施,定期健康診断の実施,呼吸用保護具の使用,4,
衛生学・公衆衛生学,33,分母が出生数である疫学指標はどれか。,死産率,乳児死亡率,周産期死亡率,妊産婦死亡率,2,
衛生学・公衆衛生学,33,洗浄剤を配合した消毒液をよく泡立てて流水で流す手指消毒方法はどれか。,スワブ法,ベースン法,スクラブ法,ラビング法,3,
衛生学・公衆衛生学,34,健康日本21(第三次)で示された「自然に健康になれる環境づくり」に相当する疾病の予防段階はどれか。,0次予防,1次予防,2次予防,3次予防,1,
衛生学・公衆衛生学,34,我が国の2023年度の児童虐待相談において、主な虐待者として最も多いのはどれか。,実　母,実　父,実母以外の母親,実父以外の父親,1,
衛生学・公衆衛生学,34,結核患者が使用した食器の洗浄に用いるのに、必要かつ十分なのはどれか。,ビグアナイド系消毒剤,塩素系消毒剤,逆性石けん,中性洗剤,4,
衛生学・公衆衛生学,34,精神保健福祉法に基づく緊急措置入院における入院期限として正しいのはどれか。,24時間,72時間,1週間,1か月間,2,
衛生学・公衆衛生学,34,小学校就学予定者に対する就学時健康診断を行うのはどれか。,学　校,保健所,都道府県医師会,市町村教育委員会,4,
衛生学・公衆衛生学,34,ある一時点での集団内における特定の病気もつ者の割合を示す疫学指標はどれか。,罹患率,有病率,偽陽性率,偽陰性率,2,
関係法規,25,あん摩マツサージ指圧師、はり師、きゆう師等に関する法律で、休止していた施術所を再開する際の必要な届け出の期限はどれか。,再開前5日以内,再開後10日以内,再開前7日以内,再開後30日以内,2,
関係法規,25,あん摩マツサージ指圧師、はり師、きゆう師等に関する法律で、施術者が免許の取消し処分を受けたときに5日以内にしなければならないのはどれか。,名簿登録の消除を申請する。,免許証の再交付を申請する。,施術所の廃止を届け出る。,免許証を返納する。,4,
関係法規,25,あん摩マツサージ指圧師、はり師、きゆう師等に関する法律で、はり師が必要な消毒をしなかったときの罰則はどれか。,1年以下の懲役,期間を定めた業務停止,30万円以下の罰金,50万円以下の罰金,3,
関係法規,25,受動喫煙の防止を規定しているのはどれか。,地域保健法,健康増進法,介護保険法,高齢者の医療の確保に関する法律,2,
関係法規,26,あん摩マッサージ指圧師、はり師、きゆう師等に関する法律で、再免許を与えることができるのはど れか。 ,免許取消しの事由に該当しなくなったとき ,免許証を紛失したとき ,誤って免許証を破いてしまったとき ,故意に免許証を汚したとき ,1,
関係法規,26,あん摩マッサージ指圧師、はり師、きゆう師等に関する法律で、免許証を返納しなければならないの はどれか。 ,再交付を申請するとき ,書換え交付を申請するとき ,再免許を申請するとき ,名簿登録の削除を申請するとき ,4,
関係法規,26,あん摩マツサージ指圧師、はり師、きゆう師等に関する法律で、施術所につき衛生上必要な措置が講じられていないとき、その使用制限を命じることができるのはどれか。,厚生労働大臣 ,都道府県知事 ,市区町村長 ,保健所長 ,2,
関係法規,26,助産所について定めている法律はどれか。 ,地域保健法 ,医師法 ,保健師助産師看護師法 ,医療法,4,
関係法規,27,生活保護法による扶助で現物給付はどれか,教育扶助,住宅扶助,医療扶助,生活扶助,3,
関係法規,27,あん摩マツサージ指圧師、はり師、きゆう師等に関する法律で、免許証を 返納しなければならないのはどれか。,施術者が失踪宣告を受けたとき,免許証の再交付を申請するとき,免許証の書換え交付を申請するとき,再免許を申請するとき,1,
関係法規,27,あん摩マツサージ指圧師、はり師、きゆう師等に関する法律に基づいて施術所を開設した場合、適切でないのはどれか。,待合室は 10 平方メートルとした。,施術に用いる器具・手指等の消毒設備を用意した。,採光、照明及び換気を充分にした。,施術室の一角を待合室とした。,4,
関係法規,27,あん摩マツサージ指圧師、はり師、きゆう師等に関する法律で、業務停止 を命ぜられた者がその期間中に業務を行った場合の罰則はどれか。,免許取消し,30 万円以下の罰金,50 万円以下の罰金,1 年以下の懲役,2,
関係法規,28,施術所の名称を考えるときに遵守しなければならない法律はどれか。,医師法,医療法,保健師助産師看護師法,理学療法士及び作業療法士法,2,
関係法規,28,あん摩マツサージ指圧師、はり師、きゆう師等に関する法律(あはき法)で、はり師、きゆう師免許を受けようとするとき、申請書に添える必要がないのはどれか。,麻薬、大麻もしくはあへんの中毒者であるかないかに関する医師の診断書,戸籍の謄本または抄本,はり師、きゅう師の学校または養成施設の卒業(終了)証明書,はり師国家試験、きゅう師国家試験合格証明書の写し,3,
関係法規,28,あん摩マツサージ指圧師、はり師、きゆう師等に関する法律(あはき法)で施術者もしくは施術所の開設者から必要な報告を提出させることができるのはどれか。,市町村長,都道府県知事,地方厚生局長,厚生労働大臣,2,
関係法規,28,あん摩マツサージ指圧師、はり師、きゆう師等に関する法律(あはき法)であらかじめ届出なければならないのはどれか。,専ら出張による業務を始めるとき,休止していた施術所を再開するとき,届出区域外に滞在して業務を行おうとするとき,施術所を廃止しようとするとき,3,
関係法規,29,あはき法で、施術所の構造設備について正しいのはどれか。,待合室は6.6平方メートル以上でなければならない。,施術室は専用でなければならない。,施術室は、室面積の5分の1以上に相当する部分を外気に開放しうるものでなければならない。,施術に用いる器具、手指等の消毒室を設けなければならない。,2,
関係法規,29,あはき法で、30万円以下の罰金に処されるのはどれか。,きゅう師が灸頭鍼を行った。,虚偽の事実に基づいてきゅう師免許を取得した。,はり師が医師の同意を得ずに骨折の患部に鍼施術をした。,はり師に必要な消毒をせずに鍼施術した。,4,
関係法規,29,保健所の設置根拠となる法律はどれか。,医療法,感染症法,健康増進法,地域保健法,4,
関係法規,30,あはき法で、都道府県知事が施術者に対し、衛生上害を生ずるおそれがあると認める業務に関して必要な支持をするとき、その指示に関して意見を述べることができるのはどれか。,地方厚生局長,市町村長,保健所長,医師の団体,4,
関係法規,30,あはき法における施術所の届出事項で、変更が必要でないのはどれか。,出張による施術を開始した。,業務に従事する施術者が変わった。,施術室を広くした。,開設者が変わった。,1,
関係法規,30,あはき法で、施術者について広告できるのはどれか。,パルス鍼,やいと,認定鍼灸師,労災保険の適応,2,
関係法規,30,あはき法で定められている罰則で量刑が最も重いのはどれか。,はり師が消毒をせずに施術した。,施術所の開設を届け出なかった。,施術者が都道府県知事の指示に違反した。,施術者が秘密保持義務に違反した。,4,
関係法規,31,あはき法で、施術者が本籍地の都道府県を変更したときにしなければならないのはどれか。,免許証の書換え交付申請,免許証の再交付申請,免許証の返納,名簿登録事項の訂正申請,4,
関係法規,31,あはき法で、施術者が都道府県知事に虚偽の報告をしたときの罰則はどれか。,免許の取消し,1年以下の懲役,50万円以下の罰金,30万円以下の罰金,4,
関係法規,31,あはき法で、施術者の住所地の都道府県知事に届け出るよう定めているのはどれか。,施術所を開設したときの届出,区域外に滞在して業務を行う届出,専ら出張のみによる業務を開始したときの届出,休止していた施術所を再開したときの届出,3,
関係法規,31,都道府県等に医療安全支援センターを設けるよう定めている法律はどれか。,医療法,健康増進法,地域保健法,医療品医療機器等法,1,
関係法規,32,あはき法に規定される施術所の構造設備について誤っているのはどれか。,施術室は、室面積の8分の1に相当する部分を外気に開放しうる。,施術室の隣室に器具、手指等の消毒の設備を設ける。,8.8平方メートルの専用の施術室を有する。,6.6平方メートルの待合室を有する。,1,
関係法規,32,あはき法で、施術所について広告できるのはどれか。,美容鍼,中国鍼,小児鍼,電気鍼,3,
関係法規,32,あはき法に規定される申請・届出と、その期限の組合せで正しいのはどれか。,国家試験合格時の免許申請　ー　30日以内,氏名変更時の免許証再交付申請　ー　10日以内,届出区域外での業務開始時の届出　ー　10日以内,免許取消時の免許証返納　ー　5日以内,4,
関係法規,32,施術所の名称を付ける際に留意しなければならない法律はどれか。,医療法,医師法,地域保健法,健康増進法,1,
関係法規,33,あはき法で、免許の取消処分を受けたときに5日以内に行わなければならないのはどれか。,免許証再交付の申請,免許証の返納,名簿登録の消除申請,施術所休止の届出,2,
関係法規,33,あはき法で、施術所の構造設備の基準として誤っているのはどれか。,6.6平方メートル以上の専用の施術室を有する。,3.3平方メートル以上の待合室を有する。,施術器具や手指などの消毒設備を有する。,施術室は室面積の9分の1以上に相当する部分を外気に開放し得る。,4,
関係法規,33,あはき法で、都道府県知事は施術者に対し、衛生上害を生ずるおそれがあると認めるときは、その業務に関して必要な指示がでいる。この指示に関して都道府県知事に意見を述べることができるのはどれか。,医師の団体,厚生労働大臣,はり師、きゅう師の団体,保健所長,1,
関係法規,33,法律と定義されている事項の組合せで正しいのはどれか。,医療法　-----　要介護認定区分,地域保健法　-----　助産所,医薬品医療機器等法　-----　管理医療機器,生活保護法　-----　国民健康保険,3,
関係法規,34,あはき法で、はり師、きゅう師の免許の効力が発生するのはどれか。,学校または養成施設を卒業したとき,はり師、きゅう師国家試験に合格したとき,はり師、きゅう師名簿に登録されたとき,施術所開設の届出が受け付けられたとき,3,
関係法規,34,あはき法で、業務開始の届出が必要なのはどれか。,専ら出張のみによって業務を行う施術者,自らの施術所の開設届出を済ませている施術者,施術所で新たに雇われる施術者,自らの施術所の施術料金の改定をした施術者,1,
関係法規,34,あはき法に基づいて罰金に処せられる行為はどれか。,外科手術,薬品投与,薬品投与の指示,はり施術部位の消毒義務違反,4,
関係法規,34,特定健康診査について定めている法律はどれか。,医療法,健康増進法,地域保健法,高齢者の医療の確保に関する法律,4,
解剖学,25,膜輸送について正しいのはどれか。,食作用では細胞膜が物質を包み込んで細胞内に取り込む。,能動輸送では担体蛋白質を介して物質が細胞に取り込まれる。,促通拡散ではATP分解で生じたエネルギーを利用する。,単純拡散では濃度勾配に逆らって物質が細胞膜を通過する。,1,
解剖学,25,尺骨にあるのはどれか。,滑車切痕,肘頭窩,尺骨切痕,尺骨神経溝,1,
解剖学,25,単関節筋はどれか。,大内転筋,大腿直筋,縫工筋,薄筋,1,
解剖学,25,深背筋について正しいのはどれか。,腸肋筋は体幹の回旋を行う。,頭半棘筋は乳様突起に停止する。,板状筋は腰神経に支配される。,上後鋸筋は肋骨を引き下げる。,1,
解剖学,25,下肢の動脈と伴行する神経の組合せで正しいのはどれか。,足背動脈 ――― 深腓骨神経,腓骨動脈 ――― 脛骨神経,大腿動脈 ――― 閉鎖神経,膝窩動脈 ――― 伏在神経,1,
解剖学,25,腹膜後臓器ばどれか。,膵臓,肝臓,回腸,S状結腸,1,
解剖学,25,膀胱について正しいのはどれか。,膀胱頂に尿管が開口する。,骨盤内臓神経が分布する。,全体が腹膜で覆われる。,坐骨の後方にある。,2,
解剖学,25,男性生殖器とその位置の組合せで正しいのはどれか。,尿道球腺 ――― 骨盤隔膜,射精管 ―――― 尿道球,精巣上体 ――― 陰嚢,精管 ――――― 大腿輪,3,
解剖学,25,甲状腺について正しいのはどれか。,上甲状腺動脈は外頸動脈の枝である。,中胚葉に由来する。,下甲状腺静脈は鎖骨下静脈に流入する。,傍濾胞細胞から出るホルモンは血中カルシウム濃度を上げる。,1,
解剖学,25,感覚とその中継核の組合せで正しいのはどれか。,視覚 ――― 内側膝状体,嗅覚 ――― 孤束核,聴覚 ――― 上丘,触覚 ――― 後索核,4,
解剖学,25,頸部の神経とその支配の組合せで正しいのはどれか。,横隔神経 ―――― 前斜角筋,頸神経ワナ ――― 顎二腹筋,鎖骨上神経 ――― 筋三角の皮膚,大耳介神経 ――― 耳下腺上の皮膚,4,
解剖学,26,人体の発生について正しいのはどれか。 ,受精は子宮内で起こる。 ,透明帯は受精直後に消失する。 ,羊膜は胚盤の外胚葉と連続する。 ,母体と胎児の血液は胎盤で混ざり合う。,3,
解剖学,26,脊柱について正しいのはどれか。 ,歯突起窩は軸椎にある。 ,胸椎の連結による弯曲は前弯である。 ,仙骨角は体表から触れる。 ,岬角は尾椎の前縁にある。,3,
解剖学,26,上肢の筋と神経の関係について正しいのはどれか。 ,回外筋は正中神経によって貫かれる。 ,烏口腕筋は筋皮神経によって貫かれる。 ,円回内筋の上腕頭と尺骨頭の間を尺骨神経が通る。 ,上腕三頭筋の長頭と外側頭の間を橈骨神経が通る。,2,
解剖学,26,心臓について正しいのはどれか。 ,心臓は後縦隔に位置する。 ,心外膜は漿膜の壁側板である。 ,房室結節は心房を収縮させる。 ,大心臓静脈は冠状溝を走行する。,4,
解剖学,26,静脈について正しいのはどれか。 ,奇静脈は腋窩静脈に注ぐ。 ,内胸静脈は上大静脈に注ぐ。 ,外陰部静脈は大腿静脈に注ぐ。 ,撓側皮静脈は上腕静脈に注ぐ。,3,
解剖学,26,固有口腔に存在するのはどれか。 ,口唇 ,耳下腺,歯肉 ,舌骨,3,
解剖学,26,男性尿道の隔膜部に最も近いのはどれか。 ,精巣 ,肛門 ,尿道球腺 ,膀胱,3,
解剖学,26,脳室について正しいのはどれか。 ,室間孔は左右の側脳室をつなぐ。 ,第3脳室は左右の間脳の間にある。 ,中脳水道には脈絡叢がある。 ,第4脳室は硬膜下腔に開口する。,2,
解剖学,26,腕神経叢の後神経束から分枝するのはどれか。 ,腋窩神経 ,筋皮神経 ,長胸神経 ,内側上腕皮神経,1,
